Account name,Account IBAN,Counteraccount IBAN,Transaction date,Amount,Currency,Detail
Jos,BE69771770897312,BE21463110545258,Fri Jan 31 18:28:27 CET 2020,372.33,EUR,Est voluptatibus tempora non.
Jos,BE69771770897312,BE90608286748122,Fri Feb 14 16:18:47 CET 2020,288.6,EUR,Nisi exercitationem distinctio illo et.
Jos,BE69771770897312,BE85005158532483,Sat Feb 08 04:27:03 CET 2020,1343.4,EUR,Facilis quibusdam consequatur sint neque.
Jos,BE69771770897312,BE51454574383698,Wed Feb 12 10:36:36 CET 2020,3427.17,EUR,Voluptatum nisi libero in quo inventore sed.
Jos,BE69771770897312,BE32075962215439,Tue Feb 04 19:29:10 CET 2020,2373.74,EUR,Omnis beatae non debitis magni.
Jos,BE69771770897312,BE91276893397004,Sat Feb 01 16:08:52 CET 2020,-80.97,EUR,Quidem excepturi fugiat et voluptate qui voluptatem.
Jos,BE69771770897312,BE51613737163692,Fri Feb 07 05:39:18 CET 2020,-1746.75,EUR,Voluptas nihil nobis id.
Jos,BE69771770897312,BE58744245370276,Wed Jan 29 15:35:25 CET 2020,1690.6,EUR,Animi odio voluptas eos odio officiis.
Jos,BE69771770897312,BE16832170800648,Fri Feb 14 03:33:51 CET 2020,4467.35,EUR,Voluptates saepe in ratione qui velit exercitationem.
Jos,BE69771770897312,BE68440172874775,Sun Feb 16 07:44:51 CET 2020,4128.59,EUR,Esse animi veritatis veritatis aut.
Jos,BE69771770897312,BE43324469706638,Tue Feb 11 15:09:06 CET 2020,1680.84,EUR,Et commodi deserunt modi.
Jos,BE69771770897312,BE22999658393686,Thu Feb 06 08:37:52 CET 2020,-515.35,EUR,Laborum consequatur fugiat inventore assumenda iusto mollitia magnam.
Jos,BE69771770897312,BE10898427282808,Mon Feb 17 17:15:55 CET 2020,1121.45,EUR,Ut expedita et commodi rerum.
Jos,BE69771770897312,BE38772441051082,Sun Feb 02 22:24:20 CET 2020,-1570.63,EUR,Qui atque magni magni assumenda ducimus provident.
Jos,BE69771770897312,BE95087350635881,Wed Feb 12 19:17:34 CET 2020,-4236.75,EUR,Corrupti ratione sequi voluptas aut.
Jos,BE69771770897312,BE76225836733063,Mon Feb 17 09:42:40 CET 2020,1964.01,EUR,Occaecati voluptatem et.
Jos,BE69771770897312,BE04508548243730,Mon Feb 10 06:59:19 CET 2020,1676.09,EUR,Cumque voluptas vel quisquam.
Jos,BE69771770897312,BE35712861010990,Thu Jan 30 01:05:24 CET 2020,-4260.52,EUR,Quis laborum inventore dolorem ullam.
Jos,BE69771770897312,BE49974201374476,Sat Feb 15 06:26:08 CET 2020,-2581.31,EUR,Neque et voluptas voluptatibus vero dolor.
Jos,BE69771770897312,BE63920569699804,Tue Feb 18 00:13:37 CET 2020,3822.23,EUR,Labore quo corporis quia iusto aut aut.
Jos,BE69771770897312,BE69300736363284,Thu Feb 06 17:13:03 CET 2020,-1231.43,EUR,Quas recusandae vitae repellendus nisi quo laborum.
Jos,BE69771770897312,BE18317749222720,Tue Feb 18 07:52:51 CET 2020,-2668.17,EUR,Aut cupiditate magni numquam.
Jos,BE69771770897312,BE51339844242384,Fri Feb 14 09:11:41 CET 2020,2356.89,EUR,Sequi est error.
Jos,BE69771770897312,BE74266623344121,Thu Feb 06 23:07:14 CET 2020,-2832.73,EUR,Corporis adipisci qui est natus non nulla.
Jos,BE69771770897312,BE41881982437690,Sat Feb 15 18:20:20 CET 2020,3989.05,EUR,Voluptatem aut voluptas reprehenderit facere quae.
Jos,BE69771770897312,BE35575612190569,Tue Feb 18 12:37:15 CET 2020,3915.74,EUR,Cupiditate illo at vero dicta repudiandae similique saepe.
Jos,BE69771770897312,BE89191661727749,Sun Feb 09 16:05:27 CET 2020,-423.14,EUR,In eligendi officiis unde aut porro cumque.
Jos,BE69771770897312,BE19458714392386,Tue Jan 28 00:10:16 CET 2020,-1841.25,EUR,Voluptas veniam minus similique necessitatibus architecto voluptas debitis.
Jos,BE69771770897312,BE93365487683876,Mon Feb 17 06:19:38 CET 2020,1650.91,EUR,Quisquam quod sint exercitationem.
Jos,BE69771770897312,BE74264472218286,Wed Feb 12 12:52:54 CET 2020,-2061.87,EUR,Repellendus laboriosam aut totam labore aut assumenda nesciunt.
Jos,BE69771770897312,BE30475869280337,Sat Feb 08 09:32:42 CET 2020,-3644.54,EUR,Tempora repudiandae animi culpa qui.
Jos,BE69771770897312,BE72834957593150,Thu Jan 30 06:34:19 CET 2020,3243.28,EUR,Et cum quibusdam consectetur.
Jos,BE69771770897312,BE82082723366157,Thu Feb 13 08:32:18 CET 2020,1077.01,EUR,Voluptatem velit autem asperiores delectus placeat.
Jos,BE69771770897312,BE57071734564564,Sat Feb 08 04:34:07 CET 2020,1092.09,EUR,Quis dicta et aliquam eos rerum rerum vero.
Jos,BE69771770897312,BE51558017345440,Mon Feb 10 02:58:42 CET 2020,4144.02,EUR,Enim sit excepturi rerum voluptas.
Jos,BE69771770897312,BE78843381234935,Sun Feb 16 11:30:16 CET 2020,-2010.47,EUR,Dolor voluptatum sit non et esse quos.
Jos,BE69771770897312,BE54719536529599,Wed Jan 29 20:51:42 CET 2020,-3453.54,EUR,Animi sed illo et ut et sed.
Jos,BE69771770897312,BE30903111351920,Sat Feb 08 10:28:37 CET 2020,-1936.54,EUR,Inventore illum aut velit.
Jos,BE69771770897312,BE03447434966312,Thu Jan 23 19:01:23 CET 2020,1400.7,EUR,Magni qui commodi.
Jos,BE69771770897312,BE58901904534355,Mon Feb 17 14:10:44 CET 2020,4160.45,EUR,Velit et aliquam.
Jos,BE69771770897312,BE93971450072377,Thu Feb 13 12:42:08 CET 2020,2797.07,EUR,Vero enim illo.
Jos,BE69771770897312,BE25318434616058,Sat Feb 15 03:58:45 CET 2020,-1271.77,EUR,Ut qui enim in.
Jos,BE69771770897312,BE70647777877847,Sat Feb 15 12:03:31 CET 2020,-1352.5,EUR,Et nihil aperiam eius qui.
Jos,BE69771770897312,BE60332364431863,Tue Feb 18 07:42:58 CET 2020,2810.49,EUR,Qui repellat distinctio quaerat et.
Jos,BE69771770897312,BE59016711336353,Mon Feb 17 12:01:34 CET 2020,3762.04,EUR,Accusamus voluptatem praesentium ducimus quidem ut rem aut.
Jos,BE69771770897312,BE68701311237759,Fri Feb 07 07:41:26 CET 2020,-2028.81,EUR,Sit qui at suscipit quo quos.
Jos,BE69771770897312,BE98576779380638,Mon Feb 17 19:42:51 CET 2020,671.57,EUR,Laboriosam molestiae qui aut.
Jos,BE69771770897312,BE22369793463356,Mon Feb 17 21:46:21 CET 2020,4974.68,EUR,Itaque accusantium rerum pariatur odit temporibus officiis.
Jos,BE69771770897312,BE63227238984503,Fri Feb 14 13:00:38 CET 2020,1470.93,EUR,Molestias repellendus est quae sed architecto.
Jos,BE69771770897312,BE13880053118282,Thu Feb 13 07:04:12 CET 2020,2672.09,EUR,Sunt quaerat sint expedita.
Jos,BE69771770897312,BE52275191458889,Thu Feb 13 19:50:17 CET 2020,4016.1,EUR,Aut tempora ex in et aut suscipit.
Jos,BE69771770897312,BE65134671972737,Mon Feb 17 09:50:46 CET 2020,4714.63,EUR,Quaerat assumenda commodi reiciendis porro culpa ab.
Jos,BE69771770897312,BE93274198756174,Fri Feb 07 00:26:23 CET 2020,-4608.19,EUR,Cupiditate dolores adipisci magni repudiandae.
Jos,BE69771770897312,BE28894764594106,Sun Feb 16 00:28:30 CET 2020,-2073.21,EUR,Commodi sunt culpa.
Jos,BE69771770897312,BE60795499205381,Sun Feb 16 07:15:33 CET 2020,3208.09,EUR,Debitis aut necessitatibus assumenda voluptatem.
Jos,BE69771770897312,BE43008860550267,Mon Feb 10 21:39:19 CET 2020,-2234.16,EUR,Ut aliquam repellat iusto.
Jos,BE69771770897312,BE46019442154695,Thu Jan 30 14:08:28 CET 2020,-2223.87,EUR,Repudiandae a aut ad nostrum.
Jos,BE69771770897312,BE02470072646783,Sun Feb 16 04:52:32 CET 2020,4211.27,EUR,Repellendus recusandae nam.
Jos,BE69771770897312,BE50567617749156,Sun Feb 16 03:59:43 CET 2020,-1664.82,EUR,Id saepe incidunt quis.
Jos,BE69771770897312,BE60786861854252,Sun Jan 26 17:44:05 CET 2020,-786.44,EUR,Modi corrupti impedit qui enim vel iusto minima.
Jos,BE69771770897312,BE20988357609415,Thu Jan 30 10:32:51 CET 2020,-2666.63,EUR,Non earum rerum magni rerum ut mollitia consequatur.
Jos,BE69771770897312,BE08021859447759,Tue Feb 18 07:49:56 CET 2020,2582.23,EUR,Atque ipsa et.
Jos,BE69771770897312,BE43851442002980,Sun Feb 16 07:06:00 CET 2020,-1596.64,EUR,Assumenda commodi assumenda est sit facere qui dolore.
Jos,BE69771770897312,BE33927298716638,Tue Feb 18 13:47:31 CET 2020,-4566.39,EUR,Quod consequatur necessitatibus aliquam repudiandae magnam.
Jos,BE69771770897312,BE31255309665990,Wed Jan 29 18:00:25 CET 2020,4142.68,EUR,Amet voluptas et dolore et sit iste.
Jos,BE69771770897312,BE12368444132911,Sun Feb 09 14:38:46 CET 2020,-4927.49,EUR,Voluptas cumque adipisci vitae similique.
Jos,BE69771770897312,BE28383271012721,Mon Feb 17 10:33:13 CET 2020,-4396.83,EUR,Reprehenderit voluptatem sint fuga voluptas.
Jos,BE69771770897312,BE60153612498765,Tue Feb 04 05:24:53 CET 2020,1399.18,EUR,Sit ratione nihil omnis illum est.
Jos,BE69771770897312,BE48465793297343,Thu Feb 06 19:36:57 CET 2020,-4317.96,EUR,Id voluptates temporibus ipsa atque fugiat vitae.
Jos,BE69771770897312,BE88945714634546,Tue Feb 18 17:16:07 CET 2020,-45.16,EUR,Explicabo dicta vel voluptate voluptas et.
Jos,BE69771770897312,BE42282955704177,Mon Feb 17 09:24:30 CET 2020,-2560.38,EUR,Voluptatem eos et culpa.
Jos,BE69771770897312,BE02811933713986,Sun Feb 16 12:30:19 CET 2020,-1829.37,EUR,Quam architecto ipsum officiis consequatur temporibus.
Jos,BE69771770897312,BE12103188349138,Fri Feb 14 01:24:34 CET 2020,-4935.24,EUR,Ut occaecati ea accusantium quos et sunt doloremque.
Jos,BE69771770897312,BE42137132284643,Sat Feb 15 14:12:25 CET 2020,42.92,EUR,Eos voluptatibus officia.
Jos,BE69771770897312,BE51733482696020,Mon Feb 10 07:58:58 CET 2020,-4480.41,EUR,Assumenda similique et voluptas aut illo.
Jos,BE69771770897312,BE89922972126272,Thu Feb 06 13:10:48 CET 2020,-4117.71,EUR,Culpa modi pariatur quis.
Jos,BE69771770897312,BE63154404319411,Wed Feb 12 03:33:50 CET 2020,-4753.83,EUR,Error neque ratione aperiam laborum qui.
Jos,BE69771770897312,BE62173580426260,Sun Feb 09 08:07:29 CET 2020,4837.85,EUR,Quod modi deleniti iste dolores consequuntur.
Jos,BE69771770897312,BE19254162304616,Mon Jan 27 00:12:31 CET 2020,1340.88,EUR,Qui est consequuntur occaecati consectetur doloribus.
